Date,High,Low,Open,Close,Volume,Adj Close,Company Name
10/18/2019,2430,2381,2400,2406,1147612,2406,Coca-Cola HBC
10/21/2019,2431,2378,2408,2393,526271,2393,Coca-Cola HBC
10/22/2019,2420,2375,2402,2390,560866,2390,Coca-Cola HBC
10/23/2019,2419,2374,2398,2410,715595,2410,Coca-Cola HBC
10/24/2019,2417.090088,2367,2407,2405,552595,2405,Coca-Cola HBC
10/25/2019,2425,2310,2397,2327,773070,2327,Coca-Cola HBC
10/28/2019,2424,2297,2333,2299,1035083,2299,Coca-Cola HBC
10/29/2019,2346,2296,2303,2320,1378820,2320,Coca-Cola HBC
10/30/2019,2349,2304,2304,2347,721174,2347,Coca-Cola HBC
10/31/2019,2372,2335,2354,2350,1243805,2350,Coca-Cola HBC
11/1/2019,2377,2343.850098,2358,2355,939291,2355,Coca-Cola HBC
