Date,High,Low,Open,Close,Volume,Adj Close,Company Name
10/18/2019,1946,1926,1940,1926.5,3651436,1926.5,Compas Group
10/21/2019,1938.5,1904.5,1937,1933.5,3542118,1933.5,Compas Group
10/22/2019,1955.5,1916,1925.5,1941,3293685,1941,Compas Group
10/23/2019,1966,1935,1945,1966,2914689,1966,Compas Group
10/24/2019,1985,1954,1966,1985,2421291,1985,Compas Group
10/25/2019,1998,1967,1982,1994,1554645,1994,Compas Group
10/28/2019,2011,1967.890015,1997.5,2009,1863642,2009,Compas Group
10/29/2019,2027,2001,2012,2026,2797390,2026,Compas Group
10/30/2019,2051,2020,2026,2047,1809147,2047,Compas Group
10/31/2019,2084,2056,2063,2056,3310336,2056,Compas Group
11/1/2019,2066,20.62000084,2062,2037,2575283,2037,Compas Group
