Date,High,Low,Open,Close,Volume,Adj Close,Company Name
9/2/2019,2004,1969,1969,1988.5,857840,1988.5,Halma
9/3/2019,2002,1972.5,1996,1993,574621,1993,Halma
9/4/2019,2014.079956,1982,1990,1996.5,745387,1996.5,Halma
9/5/2019,2013,1974.5,2006,1999.5,765753,1999.5,Halma
9/6/2019,2022.400024,1986,1994.5,2018,818285,2018,Halma
9/9/2019,2026,1967.5,2000,1976,1084179,1976,Halma
9/10/2019,1977.5,1912.5,1966,1932.5,1160636,1932.5,Halma
9/11/2019,2001,1936,1943.5,2001,960357,2001,Halma
9/12/2019,2017,1979,2012,2011,819087,2011,Halma
9/13/2019,2016,1949.5,2016,1972.209961,1086522,1972.209961,Halma
9/16/2019,1978.5,1940,1957,1946.5,666870,1946.5,Halma
9/17/2019,1990,1932,1944,1990,657036,1990,Halma
9/18/2019,2027,1972.5,1972.5,2019,854181,2019,Halma
9/19/2019,2020,1986.5,2012,2004,843119,2004,Halma
9/20/2019,2002,1964,1999,1972.5,1704487,1972.5,Halma
9/23/2019,1973.5,1949.939941,1972,1951,1713815,1951,Halma
9/24/2019,1972.5,1950.5,1972,1972.5,637810,1972.5,Halma
9/25/2019,1966.5,1886.709961,1959,1914,1376029,1914,Halma
9/26/2019,1970.5,1919,1919,1944.5,932898,1944.5,Halma
9/27/2019,1980.77002,1935,1940,1967.5,741479,1967.5,Halma
9/30/2019,1979.5,1953.5,1958,1971,714236,1971,Halma
10/1/2019,1993,1955,1992,1961,1205635,1961,Halma
10/2/2019,1956.5,1893.23999,1939,1903,799928,1903,Halma
10/3/2019,1922.5,1875.349976,1898.5,1899.5,1269402,1899.5,Halma
10/4/2019,1941,1899.5,1905,1932.5,719170,1932.5,Halma
10/7/2019,1956,1910,1910,1956,1395003,1956,Halma
10/8/2019,1981.5,1934,1968.5,1934,1428750,1934,Halma
10/9/2019,1932.5,1888.5,1928,1890,1423025,1890,Halma
10/10/2019,1907,1861.5,1890.5,1907,1496825,1907,Halma
10/11/2019,1913,1874,1876.5,1889,1125226,1889,Halma
10/14/2019,1910,1870.5,1904,1897,1055188,1897,Halma
10/15/2019,1909,1859.5,1903,1878.5,1824220,1878.5,Halma
10/16/2019,1890.5,1837.5,1870,1861,1701494,1861,Halma
10/17/2019,1890.5,1867,1875.5,1869.5,685638,1869.5,Halma
10/18/2019,1879,1848,1868.5,1854,1242933,1854,Halma
10/21/2019,1863.5,1834.5,1851,1840.5,757686,1840.5,Halma
10/22/2019,1846,1807.5,1842.5,1840,994072,1840,Halma
10/23/2019,1848,1807.73999,1838,1814,1046042,1814,Halma
10/24/2019,1858.5,1811,1819.5,1858.5,828011,1858.5,Halma
10/25/2019,1869,1841.5,1866,1858,588464,1858,Halma
10/28/2019,1867.660034,1840.5,1861,1857,1586544,1857,Halma
10/29/2019,1874,1852.5,1864.5,1860,1047971,1860,Halma
10/30/2019,1889,1845.5,1849,1882.5,713827,1882.5,Halma
10/31/2019,1912.660034,1866.5,1897,1873.5,667428,1873.5,Halma
11/1/2019,1902,1879,1880,1898,957631,1898,Halma
