Date,High,Low,Open,Close,Volume,Adj Close,Company Name
9/2/2019,780.7999878,769.4000244,769.4000244,773.7999878,3743246,768.9011841,Rolls-Royce
9/3/2019,773.4000244,751.2000122,766,765,5014516,760.1569214,Rolls-Royce
9/4/2019,773.9110107,763.5999756,767,769,6846157,764.1315918,Rolls-Royce
9/5/2019,779.5999756,769.2000122,773.7999878,776.2000122,3663730,771.2860107,Rolls-Royce
9/6/2019,790.5999756,772,775,787,5004092,782.0176392,Rolls-Royce
9/9/2019,796.5999756,780.5999756,795,786.4000244,3054467,781.4214478,Rolls-Royce
9/10/2019,814.4000244,777.5999756,779,814.4000244,10684663,809.2442017,Rolls-Royce
9/11/2019,858.5999756,814.2000122,817.4000244,832,13581015,826.7327271,Rolls-Royce
9/12/2019,840.0180054,816.5999756,840,829.2000122,11762846,823.9505005,Rolls-Royce
9/13/2019,839,825.0800171,825.7999878,831.7999878,4347745,826.5339966,Rolls-Royce
9/16/2019,839.2459717,804.5999756,823.4000244,805.5999756,4537698,800.4998169,Rolls-Royce
9/17/2019,812,800.5999756,805.5999756,810,3665599,804.8720093,Rolls-Royce
9/18/2019,810.5999756,795.4000244,808,803,2421669,797.9163208,Rolls-Royce
9/19/2019,810.2000122,796.4000244,801.4000244,809.7999878,2332031,804.6732788,Rolls-Royce
9/20/2019,799.2000122,769,789,792.7999878,9555258,787.7808838,Rolls-Royce
9/23/2019,790,773.5999756,789.4000244,775,7236268,770.0935669,Rolls-Royce
9/24/2019,781.5999756,768,779.7999878,775.4000244,4584211,770.4910889,Rolls-Royce
9/25/2019,780.7999878,765.4470215,769.5999756,780.7999878,11268218,775.8568726,Rolls-Royce
9/26/2019,797,779.5999756,782.4000244,785.5999756,10929617,780.6264648,Rolls-Royce
9/27/2019,803.2000122,791,791,792,3432725,786.9859619,Rolls-Royce
9/30/2019,799.4699707,791,793,792.4000244,3224397,787.3834839,Rolls-Royce
10/1/2019,793.4000244,773.2000122,792.4000244,775.4000244,5763461,770.4910889,Rolls-Royce
10/2/2019,770.5999756,740,769.5999756,740,4933411,735.3151855,Rolls-Royce
10/3/2019,741.5999756,713.7999878,738,722,4777044,717.4291382,Rolls-Royce
10/4/2019,733,720.2000122,729.5999756,730,2719703,725.378479,Rolls-Royce
10/7/2019,734.7999878,721.5999756,725.2000122,732,7715915,727.3658447,Rolls-Royce
10/8/2019,736,720.2000122,734,726.4000244,4168816,721.8012695,Rolls-Royce
10/9/2019,741.2000122,723.4000244,726.4000244,731.5999756,2727353,726.9683228,Rolls-Royce
10/10/2019,738.5999756,722.5999756,734.5999756,734,2826625,729.3531494,Rolls-Royce
10/11/2019,743.5999756,718.5999756,729.2000122,743.2000122,6161756,738.4949341,Rolls-Royce
10/14/2019,756.2000122,718.5999756,744.2000122,752.4000244,24810621,747.6367188,Rolls-Royce
10/15/2019,762.4000244,736.2000122,759,746.2000122,6696426,741.4759521,Rolls-Royce
10/16/2019,747.3449707,738,745,741.7999878,1986443,737.1037598,Rolls-Royce
10/17/2019,748,729.5999756,743.5999756,729.5999756,3855550,724.9810181,Rolls-Royce
10/18/2019,725.5930176,702.7999878,715.4000244,711.5999756,7509156,707.0949707,Rolls-Royce
10/21/2019,716.7999878,701,714.5999756,706.4000244,5703509,701.9279175,Rolls-Royce
10/22/2019,730.1699829,705.492981,710,724.7999878,3567602,720.2113647,Rolls-Royce
10/23/2019,729.2340088,710.7999878,723.7999878,726.5999756,5408700,722,Rolls-Royce
10/24/2019,711.7999878,694.4000244,710,702,6548481,702,Rolls-Royce
10/25/2019,713.2000122,701.2000122,702.7999878,712.7999878,3185423,712.7999878,Rolls-Royce
10/28/2019,729.5999756,703.4819946,712,721.4000244,3038203,721.4000244,Rolls-Royce
10/29/2019,725.5999756,711.7999878,722.5999756,715.4000244,3285245,715.4000244,Rolls-Royce
10/30/2019,719.7999878,704.7999878,713.5999756,712.4000244,3332240,712.4000244,Rolls-Royce
10/31/2019,723.4000244,707.4000244,718,709,7033808,709,Rolls-Royce
11/1/2019,724.5999756,687.7999878,707.2000122,724.5999756,9297868,724.5999756,Rolls-Royce
